,rep,k,fuv_vals,error_variance,non_zero_ratio,SS_err
131,11,10,0.26547201587658925,29.23713742200028,0.06825396825396825,29.23713742200028
132,12,10,0.22871565797011148,24.04366871540673,0.08888888888888889,24.04366871540673
133,13,10,0.28048685087527764,28.257301158020034,0.09523809523809523,28.257301158020034
134,14,10,0.24306215148555368,26.59684168273669,0.06825396825396825,26.59684168273669
135,0,11,0.16995526716954448,17.989244758670257,0.07936507936507936,17.989244758670257
136,1,11,0.1981029980582491,20.393603077885313,0.08513708513708514,20.393603077885313
137,2,11,0.17371986945375162,17.883495449877877,0.0836940836940837,17.883495449877877
138,3,11,0.19709265382399405,19.855855836944237,0.07215007215007214,19.855855836944237
139,4,11,0.18861033695688192,19.96382678830343,0.06349206349206349,19.96382678830343
140,5,11,0.21822694830117492,22.145581641379437,0.07647907647907648,22.145581641379437
141,6,11,0.19923761725247807,21.659749354029323,0.06926406926406926,21.659749354029323
142,7,11,0.18261923854451068,19.592228398270205,0.07936507936507936,19.592228398270205
143,8,11,0.1837686961383761,18.10538366024543,0.07647907647907648,18.10538366024543
144,9,11,0.14726668324385772,14.944562906736378,0.09379509379509379,14.944562906736378
145,10,11,0.16098176431545003,15.979904114905075,0.06782106782106782,15.979904114905075
146,11,11,0.12171214633611517,11.900743197309039,0.06782106782106782,11.900743197309039
147,12,11,0.2134906855536613,22.133320053318357,0.0707070707070707,22.133320053318357
148,13,11,0.18003767358150097,18.270149630285992,0.06782106782106782,18.270149630285992
149,14,11,0.22026634932843256,23.314518791671745,0.07647907647907648,23.314518791671745
150,0,12,0.12667811731876893,13.133159917945843,0.07804232804232804,13.133159917945843
151,1,12,0.13763245877444796,14.368859905226692,0.07275132275132275,14.368859905226692
152,2,12,0.1824188127985562,19.57072580619431,0.07671957671957672,19.57072580619431
153,3,12,0.17653364761781729,18.558049667941063,0.07539682539682539,18.558049667941063
154,4,12,0.10155130257920411,10.155705945576758,0.05026455026455026,10.155705945576758
155,5,12,0.11363169866553657,10.940593935008353,0.06084656084656084,10.940593935008353
156,6,12,0.148913588423882,15.65449877399358,0.08465608465608465,15.65449877399358
157,7,12,0.22112456945503287,23.245657686928173,0.062169312169312166,23.245657686928173
158,8,12,0.20069433024267982,21.24288048578896,0.07275132275132275,21.24288048578896
159,9,12,0.1397177777494281,14.889289530866494,0.07804232804232804,14.889289530866494
160,10,12,0.13615769996427418,13.91710767253883,0.07275132275132275,13.91710767253883
161,11,12,0.24811525062033724,26.440871469735526,0.056878306878306875,26.440871469735526
162,12,12,0.16577583181032765,18.257332170702718,0.06878306878306878,18.257332170702718
163,13,12,0.15273947844364255,15.94603618431865,0.07936507936507936,15.94603618431865
164,14,12,0.1548860167124088,16.057570712225242,0.07275132275132275,16.057570712225242
165,0,13,0.1187801376270169,12.227755279047908,0.05860805860805861,12.227755279047908
166,1,13,0.12022766200885249,13.070328085849006,0.06715506715506715,13.070328085849006
167,2,13,0.1371746364029091,14.221370467893436,0.05860805860805861,14.221370467893436
168,3,13,0.175699574467876,18.087295082720793,0.06593406593406594,18.087295082720793
169,4,13,0.1244390819709899,12.536461527907347,0.06837606837606838,12.536461527907347
170,5,13,0.11651788001496634,12.16449309485047,0.0757020757020757,12.16449309485047
171,6,13,0.16533203934966048,17.380483773810113,0.06837606837606838,17.380483773810113
172,7,13,0.1277784660127908,12.778570969000242,0.057387057387057384,12.778570969000242
173,8,13,0.07805675757852745,7.921167899167914,0.07448107448107448,7.921167899167914
174,9,13,0.11326156290876845,12.393537368992135,0.04395604395604396,12.393537368992135
175,10,13,0.11990956814784738,12.518586105013531,0.05372405372405373,12.518586105013531
176,11,13,0.156660015684246,17.253383155919053,0.040293040293040296,17.253383155919053
177,12,13,0.14654859925140024,14.655690699512196,0.07326007326007326,14.655690699512196
178,13,13,0.16253995478164887,17.20435664234738,0.07692307692307693,17.20435664234738
179,14,13,0.0883507865378859,9.030612367305544,0.054945054945054944,9.030612367305544
180,0,14,0.11108765703182615,11.917992683261392,0.05215419501133787,11.917992683261392
181,1,14,0.12969385787606996,13.914151135513741,0.05215419501133787,13.914151135513741
182,2,14,0.17368573779108246,18.88192400011105,0.05442176870748299,18.88192400011105
183,3,14,0.13838257122758663,14.846316102506103,0.03854875283446712,14.846316102506103
184,4,14,0.09082806041856721,9.4164601413535,0.05215419501133787,9.4164601413535
185,5,14,0.1620298987414209,17.26702295068439,0.05328798185941043,17.26702295068439
186,6,14,0.07414738717769108,7.194566374210862,0.05215419501133787,7.194566374210862
187,7,14,0.12444798220891246,13.082558855340547,0.0691609977324263,13.082558855340547
188,8,14,0.1067114885733057,11.371911829911733,0.05442176870748299,11.371911829911733
189,9,14,0.14266225690235332,15.1003631719195,0.06689342403628118,15.1003631719195
190,10,14,0.06491362663154872,6.347110159529207,0.04081632653061224,6.347110159529207
191,11,14,0.08180043927310726,8.717218694056573,0.04421768707482993,8.717218694056573
192,12,14,0.15736957143500702,16.99591371498076,0.046485260770975055,16.99591371498076
193,13,14,0.06636584040152994,7.167510763365233,0.060090702947845805,7.167510763365233
194,14,14,0.0951891522528088,9.868589662127935,0.045351473922902494,9.868589662127935
195,0,15,0.08860418316115744,9.632440025405423,0.04021164021164021,9.632440025405423
196,1,15,0.06536403069625533,6.965641692973278,0.04656084656084656,6.965641692973278
197,2,15,0.11229905860097497,12.047957392423195,0.05396825396825397,12.047957392423195
198,3,15,0.1149510431116376,12.414712656056862,0.027513227513227514,12.414712656056862
199,4,15,0.10128961949275217,10.278829243422656,0.06772486772486773,10.278829243422656
200,5,15,0.09194919510067545,9.195440764008026,0.016931216931216932,9.195440764008026
201,6,15,0.13782854974938671,14.489187225355028,0.0455026455026455,14.489187225355028
202,7,15,0.07736900167279755,7.564969052451316,0.06455026455026455,7.564969052451316
203,8,15,0.09126391921132897,9.660006469174647,0.03597883597883598,9.660006469174647
204,9,15,0.10241224481300408,10.691861581208876,0.05502645502645503,10.691861581208876
205,10,15,0.09099205309078445,9.499590975796512,0.05185185185185185,9.499590975796512
206,11,15,0.037456872364147284,3.5216679600872034,0.033862433862433865,3.5216679600872034
207,12,15,0.10900665573299646,11.380319576587354,0.06666666666666667,11.380319576587354
208,13,15,0.0999064997463892,10.789901972610034,0.044444444444444446,10.789901972610034
209,14,15,0.07095304639861648,6.9904839828804715,0.061375661375661375,6.9904839828804715
210,0,16,0.10432595202849432,10.815833393974515,0.04265873015873016,10.815833393974515
211,1,16,0.09755903558001812,10.185185436784181,0.03571428571428571,10.185185436784181
212,2,16,0.07541021421963626,7.927477395061988,0.040674603174603176,7.927477395061988
213,3,16,0.06838394975626058,6.889256507417563,0.03968253968253968,6.889256507417563
214,4,16,0.0824354434775989,8.903027895580683,0.040674603174603176,8.903027895580683
215,5,16,0.08567143662435256,8.63086300758897,0.03869047619047619,8.63086300758897
216,6,16,0.09372901859767566,9.511582550549841,0.027777777777777776,9.511582550549841
217,7,16,0.06044407894736844,6.0,0.020833333333333332,6.0
218,8,16,0.0586443938475717,5.864771835969458,0.037698412698412696,5.864771835969458
